PII Type,Actual Count,Detected Count,TP,FP,FN,Precision,Recall,Accuracy
PERSON,348,344,5921,771,720,88.48%,89.16%,99.60%
EMAIL,52,51,1361,0,18,100.00%,98.69%,100.00%
PHONE,16,14,189,0,18,100.00%,91.30%,100.00%
COMPANY,286,653,5172,6519,2618,44.24%,66.39%,97.55%
ADDRESS,6,15,164,439,0,27.20%,100.00%,99.88%
SSN,0,0,0,0,0,0.00%,0.00%,100.00%
CREDIT_CARD,0,0,0,0,0,0.00%,0.00%,100.00%
DOB,0,0,0,0,0,0.00%,0.00%,100.00%
IP_ADDRESS,0,0,0,0,0,0.00%,0.00%,100.00%
OVERALL,-,-,12807,7729,3374,62.36%,79.15%,99.67%
